"datetime","bsadf_btc","bsadf_eth","bsadf_ltc"
"2016-08-16 23:59:59",-1.00644750153894,-2.29532905186738,-1.47185244737006
"2016-08-17 23:59:59",-1.00670974491732,-2.28551756118408,-1.47562196422762
"2016-08-18 23:59:59",-1.00573622661311,-2.29275993274768,-1.47690697891405
"2016-08-19 23:59:59",-0.983175995274,-2.27291778662479,-1.48615859257581
"2016-08-20 23:59:59",-0.990033330363923,-2.27380552784147,-1.48872699255186
"2016-08-21 23:59:59",-0.978176969369556,-2.27630661456709,-1.49793781521705
"2016-08-22 23:59:59",-0.991013308818322,-2.26580821251141,-1.51858221060621
"2016-08-23 23:59:59",-1.00631909946861,-2.26730592142828,-1.53952058138951
"2016-08-24 23:59:59",-1.01417660884954,-2.26961814388511,-1.55070169006331
"2016-08-25 23:59:59",-1.01088467271923,-2.26922811899095,-1.55117113507952
"2016-08-26 23:59:59",-1.04139265905865,-2.26694550716368,-1.5630202733888
"2016-08-27 23:59:59",-1.03040066396738,-2.27245341659582,-1.5664964801379
"2016-08-28 23:59:59",-1.0358327158502,-2.26679916576043,-1.56978918745222
"2016-08-29 23:59:59",-1.02832053192278,-2.27916133879934,-1.5708330132767
"2016-08-30 23:59:59",-1.04323766112988,-2.28726364240038,-1.57702744431494
"2016-08-31 23:59:59",-1.04623556677092,-2.28779749863708,-1.57689094002129
"2016-09-01 23:59:59",-1.04222019101141,-2.29239018996066,-1.58113921405838
"2016-09-02 23:59:59",-0.980340877067535,-2.30866389674566,-1.57855479033894
"2016-09-03 23:59:59",-0.940536145427658,-2.31899711995547,-1.55777001660669
"2016-09-04 23:59:59",-0.950455027141355,-2.32516979504532,-1.57103571967812
"2016-09-05 23:59:59",-0.938559139065717,-2.33402534383293,-1.57453126577885
"2016-09-06 23:59:59",-0.927824358710563,-2.34370259065815,-1.57361636771145
"2016-09-07 23:59:59",-0.88890481311971,-2.35314562354422,-1.57255323309625
"2016-09-08 23:59:59",-0.905378567482003,-2.35960398202855,-1.58488623950415
"2016-09-09 23:59:59",-0.903569677011135,-2.35772433685995,-1.58889796919682
"2016-09-10 23:59:59",-0.973151195288388,-2.3801591651385,-1.61221736472914
"2016-09-11 23:59:59",-0.973877380682494,-2.38390402390363,-1.62443655407822
"2016-09-12 23:59:59",-0.973581562037489,-2.39040587121874,-1.62738876352863
"2016-09-13 23:59:59",-0.969964770680624,-2.3969039046397,-1.62961765521585
"2016-09-14 23:59:59",-0.982220226316366,-2.40437597831262,-1.63620963264459
"2016-09-15 23:59:59",-0.981421331647777,-2.39205109533542,-1.63864737646252
"2016-09-16 23:59:59",-0.98797510445545,-2.38967457237931,-1.64277937562185
"2016-09-17 23:59:59",-0.978871325011211,-2.41174070492324,-1.64424196567971
"2016-09-18 23:59:59",-0.981940764212512,-2.37865203821603,-1.64726036663305
"2016-09-19 23:59:59",-0.987275622342138,-2.29478122994833,-1.652025852694
"2016-09-20 23:59:59",-1.02925300416113,-2.35236533143836,-1.65979683490084
"2016-09-21 23:59:59",-1.03438465493563,-2.3926107269081,-1.66358518079224
"2016-09-22 23:59:59",-1.01560746785816,-2.3901788391003,-1.66482819941457
"2016-09-23 23:59:59",-1.02001015652406,-2.4255703794138,-1.66777005264221
"2016-09-24 23:59:59",-1.02861769954331,-2.41953303173174,-1.67212442134176
"2016-09-25 23:59:59",-1.00980303761528,-2.43797505513975,-1.67133695412302
"2016-09-26 23:59:59",-1.01835227177707,-2.42829062712204,-1.6761797821233
"2016-09-27 23:59:59",-1.02284828191384,-2.41685416508389,-1.67955129072925
"2016-09-28 23:59:59",-1.02181926496789,-2.4354308973832,-1.68180114126163
"2016-09-29 23:59:59",-1.01264636973858,-2.43328579652613,-1.68775761565719
"2016-09-30 23:59:59",-0.996034900515654,-2.43210822987738,-1.68977361596772
"2016-10-01 23:59:59",-1.01089198026936,-2.44065145920103,-1.69387799195641
"2016-10-02 23:59:59",-1.0080242077695,-2.4259887128094,-1.69651525990765
"2016-10-03 23:59:59",-1.01937938700998,-2.4441266501079,-1.70202354295161
"2016-10-04 23:59:59",-1.01400848926165,-2.46145161557543,-1.70439828389684
"2016-10-05 23:59:59",-1.01854269782846,-2.47952798384358,-1.70857645460214
"2016-10-06 23:59:59",-1.00380539574984,-2.49344230437815,-1.70997884603387
"2016-10-07 23:59:59",-1.00513326554078,-2.51946786065412,-1.71538639773646
"2016-10-08 23:59:59",-1.01390201735485,-2.52987504743364,-1.72070956515114
"2016-10-09 23:59:59",-1.01729717539203,-2.54036720380589,-1.72657592509351
"2016-10-10 23:59:59",-0.931235106951398,-2.54827647303672,-1.72718312610514
"2016-10-11 23:59:59",-0.952956786675131,-2.55399212263511,-1.73247960246112
"2016-10-12 23:59:59",-0.959036738573718,-2.55912667655401,-1.72709529655348
"2016-10-13 23:59:59",-0.948422271551337,-2.56661324710726,-1.73291394039351
"2016-10-14 23:59:59",-0.95444405635636,-2.57281013324219,-1.73713762595187
"2016-10-15 23:59:59",-0.945895342433637,-2.57971257224979,-1.73971843495592
"2016-10-16 23:59:59",-0.9583568851022,-2.58555461636152,-1.74643880205695
"2016-10-17 23:59:59",-0.968118471972792,-2.57890232623299,-1.75282063589153
"2016-10-18 23:59:59",-0.995650811564262,-2.6040686899927,-1.75070472898038
"2016-10-19 23:59:59",-0.997651809623319,-2.60980607349479,-1.74602099414005
"2016-10-20 23:59:59",-0.995972270282253,-2.61471630871374,-1.75550908848517
"2016-10-21 23:59:59",-0.920162928618419,-2.62220047064457,-1.76520957885156
"2016-10-22 23:59:59",-0.932095983140402,-2.63096090445414,-1.76654623092621
"2016-10-23 23:59:59",-0.937792475943418,-2.63821285428078,-1.77020999154028
"2016-10-24 23:59:59",-0.92563677663108,-2.64947801690946,-1.76821590196335
"2016-10-25 23:59:59",-0.84809303758222,-2.65873515204702,-1.76701459638635
"2016-10-26 23:59:59",-0.809274880547204,-2.66513160628735,-1.75451498833719
"2016-10-27 23:59:59",-0.794043894875811,-2.67201857264925,-1.74984922364152
"2016-10-28 23:59:59",-0.676128795446627,-2.65558508758117,-1.74357978637906
"2016-10-29 23:59:59",-0.764532881568169,-2.70833056734469,-1.76491155627248
"2016-10-30 23:59:59",-0.761723756440414,-2.70714124404757,-1.77236451149341
"2016-10-31 23:59:59",-0.630099468290534,-2.70937650231254,-1.74458838464855
"2016-11-01 23:59:59",-0.610066088797622,-2.71443553501014,-1.7411779962049
"2016-11-02 23:59:59",-0.844053673161595,-2.72102516232636,-1.82508336126101
"2016-11-03 23:59:59",-0.78107196294928,-2.73801370399554,-1.8212645334477
"2016-11-04 23:59:59",-0.775720590803311,-2.74266160232042,-1.82731588267446
"2016-11-05 23:59:59",-0.74380510566555,-2.74457914660335,-1.82733468503788
"2016-11-06 23:59:59",-0.773215077203265,-2.74864818963457,-1.83548626111855
"2016-11-07 23:59:59",-0.763932604832701,-2.75482086111879,-1.8431512997806
"2016-11-08 23:59:59",-0.7143703598818,-2.75147537742893,-1.84527158270354
"2016-11-09 23:59:59",-0.75273379404747,-2.74878391137293,-1.85211927873576
"2016-11-10 23:59:59",-0.745276370117347,-2.73884762918031,-1.85500145727385
"2016-11-11 23:59:59",-0.799397109433742,-2.68728233250533,-1.86150174341661
"2016-11-12 23:59:59",-0.808023236308023,-2.73738816816001,-1.8599817012927
"2016-11-13 23:59:59",-0.797701947217029,-2.72936170036753,-1.86397680800274
"2016-11-14 23:59:59",-0.773337247441911,-2.75037234143688,-1.8641613482364
"2016-11-15 23:59:59",-0.656381043934741,-2.73894848101054,-1.86347227447682
"2016-11-16 23:59:59",-0.670693998105407,-2.73541140260238,-1.8741039291737
"2016-11-17 23:59:59",-0.629972642688341,-2.68214083493454,-1.86884968543657
"2016-11-18 23:59:59",-0.624594900328983,-2.70907134014428,-1.87004875450225
"2016-11-19 23:59:59",-0.727928006978476,-2.69239297104924,-1.88255791842098
"2016-11-20 23:59:59",-0.696594797890729,-2.6974569652406,-1.87989376968638
"2016-11-21 23:59:59",-0.649858122006414,-2.72550768807981,-1.88314939044654
"2016-11-22 23:59:59",-0.684047267485123,-2.72039939730216,-1.8893819188291
"2016-11-23 23:59:59",-0.70639477638958,-2.65056468819406,-1.89529349803326
"2016-11-24 23:59:59",-0.703426892446073,-2.67124258851668,-1.89701387540952
"2016-11-25 23:59:59",-0.729789482662861,-2.66057884458333,-1.90483507700229
"2016-11-26 23:59:59",-0.753516032593622,-2.45894086670468,-1.90825298045426
"2016-11-27 23:59:59",-0.739891557390387,-2.31438576636145,-1.9106333787121
"2016-11-28 23:59:59",-0.743075741949021,-1.95054706749863,-1.91474219357687
"2016-11-29 23:59:59",-0.703115061648752,-2.07942680244954,-1.91283291931301
"2016-11-30 23:59:59",-0.661697708204182,-1.92829194206522,-1.91236673283172
"2016-12-01 23:59:59",-0.587990302296028,-1.38663303068745,-1.90601038184035
"2016-12-02 23:59:59",-0.619898105421659,-1.54188536840166,-1.91299012124727
"2016-12-03 23:59:59",-0.61688850932565,-1.21170487257253,-1.91987803581375
"2016-12-04 23:59:59",-0.681797667582083,-0.648532830932771,-1.95579474177013
"2016-12-05 23:59:59",-0.658298723189646,-1.29769227648817,-1.96626526654798
"2016-12-06 23:59:59",-0.639792011164363,-1.5747452880038,-1.98236934302237
"2016-12-07 23:59:59",-0.623179511665845,-1.63862989403537,-1.98526950405006
"2016-12-08 23:59:59",-0.621837465525147,-1.69375089051751,-1.98669578533893
"2016-12-09 23:59:59",-0.611518313921949,-1.51028437048182,-1.98872301215825
"2016-12-10 23:59:59",-0.636060025588565,-1.54317781709408,-1.99339189543472
"2016-12-11 23:59:59",-0.596957161896104,-1.64013253647574,-1.99546935630308
"2016-12-12 23:59:59",-0.601654286464237,-1.58730301640983,-2.00096700692127
"2016-12-13 23:59:59",-0.613284668591386,-1.5232084357356,-2.00538729993769
"2016-12-14 23:59:59",-0.619331255207759,-1.32577364766466,-2.01014031495465
"2016-12-15 23:59:59",-0.57017754904371,-1.32940768031213,-2.01391164480161
"2016-12-16 23:59:59",-0.496445765315772,-1.33180732984295,-2.02083598761724
"2016-12-17 23:59:59",-0.50216232905262,-1.16405286415641,-2.02429533338064
"2016-12-18 23:59:59",-0.490799370742463,-1.02824144963384,-2.02699304594018
"2016-12-19 23:59:59",-0.40644451900547,-1.04310342463266,-2.03048971849673
"2016-12-20 23:59:59",-0.162005773513688,-1.15976657097129,-2.03377000629291
"2016-12-21 23:59:59",0.155501753573276,-1.02523807340334,-2.03515741752078
"2016-12-22 23:59:59",0.745227217065287,-0.80599210094882,-2.00398667226358
"2016-12-23 23:59:59",0.378228434302466,-0.738697022908604,-1.91682911251118
"2016-12-24 23:59:59",0.379810902243292,-0.73441977672146,-2.00107745046229
"2016-12-25 23:59:59",0.918988803623449,-0.185442642567808,-2.02530275025413
"2016-12-26 23:59:59",1.3475176905775,-0.0851869495244815,-1.98263745367189
"2016-12-27 23:59:59",1.9648721433948,-0.412563628279427,-1.88258229315796
"2016-12-28 23:59:59",1.84032231469221,-0.720065975655842,-1.87620709535855
"2016-12-29 23:59:59",1.58840223965709,-0.716024919041149,-1.97098303061876
"2016-12-30 23:59:59",1.58883213470695,-0.660505988033486,-1.98016601744999
"2016-12-31 23:59:59",1.94475692923865,-0.689003703874386,-1.90305781483626
"2017-01-01 23:59:59",2.151712370315,-0.814081809706418,-1.66007649072061
"2017-01-02 23:59:59",2.28093913792255,-1.16544915588726,-1.56823197443829
"2017-01-03 23:59:59",3.26346283017908,-1.2503479361459,-1.7500455689654
"2017-01-04 23:59:59",0.748399298154676,-1.2805261862685,-2.06713902810276
"2017-01-05 23:59:59",-0.258290498901401,-1.26952458955673,-2.18660462141489
"2017-01-06 23:59:59",-0.231055693881927,-1.25614012049187,-2.18099341868427
"2017-01-07 23:59:59",-0.1903055474702,-1.22108875447453,-2.17635526669498
"2017-01-08 23:59:59",-0.251414043318028,-1.22035240805951,-2.09506642088975
"2017-01-09 23:59:59",-0.239889635811078,-1.22128014436636,-1.96405910808726
"2017-01-10 23:59:59",-0.838834368718027,-1.21328320756858,-2.31564704913454
"2017-01-11 23:59:59",-0.796438233773143,-1.21796946745649,-2.30843053592911
"2017-01-12 23:59:59",-0.722399199317928,-1.22072493497938,-2.32364156267139
"2017-01-13 23:59:59",-0.746930784591893,-1.22879022736182,-2.32066469592673
"2017-01-14 23:59:59",-0.736982150603929,-1.23542252224926,-2.33241726132408
"2017-01-15 23:59:59",-0.719698831769306,-1.21660562086362,-2.33964265566738
"2017-01-16 23:59:59",-0.48471490868969,-1.27687308229622,-2.33851453181123
